Year,Award,Medalist,Entry,Style,🏆 Platinum,🥇🥇 Double Gold,🥇 Gold,🥈 Silver,🥉 Bronze,Judges' Pick,Total,First,Last,Years,City,Region,Country,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2017,🥇🥇 Double Gold,Seattle Cider Company,Three Pepper,Specialty,3,3,5,7,1,16,35,2017,2024,6,Seattle,Washington,USA,Active,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923
2017,🥇🥇 Double Gold,Cidrerie Michel Jodoin,Cidre de Glace Rosé,Dessert,0,4,2,3,0,6,15,2017,2024,4,Rougemont,Quebec,Canada,Active,https://www.micheljodoin.ca/,https://www.facebook.com/CidrerieMichelJodoin/,https://www.instagram.com/cidreriemicheljodoin/,https://maps.google.com/?cid=12740295882599829633,https://www.yelp.com/biz/cidrerie-michel-jodoin-rougemont,https://www.tripadvisor.com/Attraction_Review-g1893510-d2227956,https://untappd.com/w/cidrerie-michel-jodoin/18179
2017,🥇🥇 Double Gold,Big B's Hard Cider,Bourbon Barrel Aged Pommeau,Fortified,1,1,0,2,0,2,6,2017,2020,4,Hotchkiss,Colorado,USA,Active,http://www.bigbs.com/,https://www.facebook.com/visitbigbs,https://www.instagram.com/drinkbigbs,https://maps.google.com/?cid=78577038036310991,https://www.yelp.com/biz/delicious-orchards-hotchkiss,https://www.tripadvisor.com/Restaurant_Review-g33588-d4471856,https://untappd.com/w/big-bs-fabulous-juices/100389
2018,🥇🥇 Double Gold,Shield Cider,Organic Demi-Sec,Heritage,0,1,0,0,0,0,1,2018,2018,1,Houston,Texas,USA,Inactive,,,,,,,
2018,🥇🥇 Double Gold,Castle Hill Cider,2016 Serendipity,Modern,2,3,1,0,0,1,7,2018,2023,5,Keswick,Virginia,USA,Active,http://www.castlehillcider.com/,https://www.facebook.com/CastleHillCider,https://www.instagram.com/castlehillcider/,https://maps.google.com/?cid=4112176064200176389,https://www.yelp.com/biz/castle-hill-cider-keswick,https://www.tripadvisor.com/Attraction_Review-g57873-d2359755,https://untappd.com/w/castle-hill-cider/18303
2018,🥇🥇 Double Gold,Oliver's Cider and Perry,Classic,Perry,0,1,0,0,0,0,1,2018,2018,1,Ocle Pychard,Herefordshire,England,Active,https://www.oliversciderandperry.co.uk/,https://www.facebook.com/oliversciderandperry,https://www.instagram.com/tomoliverscider/,https://maps.google.com/?cid=7135495925516207657,,,https://untappd.com/brewery/6568
2018,🥇🥇 Double Gold,Liberty Ciderworks,Porter's Perfection SV,Still,0,2,1,2,1,6,12,2017,2022,4,Spokane,Washington,USA,Active,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336
2018,🥇🥇 Double Gold,Alpenfire Cider,Glow Airlie Red,Single Varietal,0,2,2,1,1,0,6,2018,2022,2,Port Townsend,Washington,USA,Active,https://www.alpenfirecider.com/,https://www.facebook.com/alpenfirecider,https://www.instagram.com/alpenfirecider/,https://maps.google.com/?cid=13194604853315575065,https://www.yelp.com/biz/alpenfire-cider-and-orchard-port-townsend,,https://untappd.com/w/alpenfire-cider/12510
2018,🥇🥇 Double Gold,Cider Creek Hard Cider,Dreams of Charlotte Series #1,Sour,0,1,0,0,0,3,4,2018,2019,2,Canisteo,New York,USA,Active,http://www.cidercreekhardcider.com/,,https://www.instagram.com/cidercreekhardcider/,https://maps.google.com/?cid=7573055340708815679,,https://www.tripadvisor.com/Attraction_Review-g47410-d9865677,https://untappd.com/w/cider-creek-hard-cider/124038
2018,🥇🥇 Double Gold,Ironbound Hard Cider,Devil's Harvest,Stone Fruit,0,1,0,1,0,3,5,2018,2022,3,Asbury,New Jersey,USA,Active,https://www.ironboundhardcider.com/,https://www.facebook.com/ironboundhardcider,https://www.instagram.com/ironboundhardcider,https://maps.google.com/?cid=17370734586891457225,https://www.yelp.com/biz/ironbound-hard-cider-asbury-3,https://www.tripadvisor.com/Attraction_Review-g29747-d16900912,https://untappd.com/w/jersey-cider-works/267396
2018,🥇🥇 Double Gold,2 Towns Ciderhouse,Passion Statement,Fruit,6,11,6,5,4,9,41,2017,2024,6,Corvallis,Oregon,USA,Active,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
2018,🥇🥇 Double Gold,BC Tree Fruits Cider,Broken Ladder Apples & Hops,Hopped,0,1,1,0,0,0,2,2017,2018,2,Kelowna,British Columbia,Canada,Active,https://www.bctreefruitscider.com/,https://www.facebook.com/bctfcider,https://www.instagram.com/bctfcider/,https://maps.google.com/?cid=14720123387889629483,https://www.yelp.com/biz/bc-tree-fruits-market-kelowna,https://www.tripadvisor.com/Attraction_Review-g154933-d8508463,https://untappd.com/w/bc-tree-fruits-cider-co/193881
2018,🥇🥇 Double Gold,Wrangletown Cider Company,Oak Barrel-Aged,Oak-Aged,0,1,0,0,0,0,1,2018,2018,1,Arcata,California,USA,Active,https://www.wrangletowncidercompany.com/,https://www.facebook.com/WrangletownCiderCompany,https://www.instagram.com/wrangletown_cider/,https://maps.google.com/?cid=666976479590707488,,https://www.tripadvisor.com/Attraction_Review-g29106-d13478606,https://untappd.com/w/wrangletown-cider-company/233181
2018,🥇🥇 Double Gold,Brownrigg Hard Cider,Fig Leaf,Spiced/Botanical,0,1,0,0,1,1,3,2018,2019,2,Seattle,Washington,USA,Inactive,,,,,,,
2018,🥇🥇 Double Gold,Kystin,Cuvée XVII Cidre à la Châtaigne,Specialty,0,1,2,0,0,0,3,2018,2022,2,Vannes,Brittany,France,Active,https://www.kystin.net/,https://www.facebook.com/kystincider,,,,,https://untappd.com/brewery/90870
2018,🥇🥇 Double Gold,Eden Ciders,Cellar Series #2 The Falstaff,Dessert,0,3,2,1,1,2,9,2017,2024,5,Newport,Vermont,USA,Active,https://www.edenciders.com/,https://facebook.com/edenspecialtyciders,https://www.instagram.com/edenciders/,https://maps.google.com/?cid=1133141626652589768,https://www.yelp.com/biz/northeast-kingdom-tasting-center-newport,https://www.tripadvisor.com/Restaurant_Review-g57335-d4675348,https://untappd.com/w/eden-specialty-ciders/13108
2018,🥇🥇 Double Gold,2 Towns Ciderhouse,2015 Pommeau,Fortified,6,11,6,5,4,9,41,2017,2024,6,Corvallis,Oregon,USA,Active,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
2019,🥇🥇 Double Gold,Val de Rance,Cidre Brut,Heritage,0,1,0,0,0,0,1,2019,2019,1,Pleudihen-sur-Rance,Brittany,France,Active,https://www.valderance.com/,https://www.facebook.com/ValdeRance/,,https://maps.google.com/?cid=7883069809343472545,,,https://untappd.com/LesCelliersAssocis
2019,🥇🥇 Double Gold,Portland Cider Company,Sorta Sweet,Modern,2,4,6,3,2,7,24,2017,2024,7,Clackamas,Oregon,USA,Active,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,https://www.yelp.com/biz/portland-cider-company-clackamas,https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793,https://untappd.com/w/portland-cider-company/56260
2019,🥇🥇 Double Gold,Ramborn Cider Co.,Perry,Perry,0,1,0,0,0,0,1,2019,2019,1,Born,Echternach,Luxembourg,Active,https://www.ramborn.com/,https://www.facebook.com/RambornUS/,https://www.instagram.com/rambornciderco/,https://maps.google.com/?cid=16691194016355154342,,https://www.tripadvisor.com/Attraction_Review-g206525-d12591209,https://untappd.com/Ramborn
2019,🥇🥇 Double Gold,Eden Ciders,Cellar Series #4 Guinevere's Pearls,Single Varietal,0,3,2,1,1,2,9,2017,2024,5,Newport,Vermont,USA,Active,https://www.edenciders.com/,https://facebook.com/edenspecialtyciders,https://www.instagram.com/edenciders/,https://maps.google.com/?cid=1133141626652589768,https://www.yelp.com/biz/northeast-kingdom-tasting-center-newport,https://www.tripadvisor.com/Restaurant_Review-g57335-d4675348,https://untappd.com/w/eden-specialty-ciders/13108
2019,🥇🥇 Double Gold,Ragged Hill Cider,Rasé,Rosé,0,1,1,0,0,4,6,2018,2020,3,West Brookfield,Massachusetts,USA,Active,https://www.raggedhillcider.com/,https://www.facebook.com/RaggedHillCider/,https://www.instagram.com/raggedhillcider/,https://maps.google.com/?cid=12743756096350248911,https://www.yelp.com/biz/ragged-hill-orchard-west-brookfield,https://www.tripadvisor.com/Attraction_Review-g41900-d13976564,https://untappd.com/w/ragged-hill-cider-company/339946
2019,🥇🥇 Double Gold,Seattle Cider Company,Red Currant,Rosé,3,3,5,7,1,16,35,2017,2024,6,Seattle,Washington,USA,Active,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923
2019,🥇🥇 Double Gold,Saro Cider,Marmara,Wood-Aged,0,1,0,1,0,0,2,2019,2020,2,Lincoln,Nebraska,USA,Active,https://sarocider.com/,https://www.facebook.com/4SaroCider,https://www.instagram.com/sarocider/,https://maps.google.com/?cid=14239117714929818609,https://www.yelp.com/biz/saro-cider-lincoln,https://www.tripadvisor.com/Restaurant_Review-g45667-d15141590,https://untappd.com/w/saro-cider/407311
2019,🥇🥇 Double Gold,Sidra Riestra,Sidra Natural Riestra,Sour,1,1,2,0,0,0,4,2019,2020,2,Sariego,Asturias,Spain,Active,http://www.sidrariestra.com/,https://www.facebook.com/SidraRiestra,https://www.instagram.com/sidrariestra/,https://maps.google.com/?cid=2253085342105400787,,,https://untappd.com/w/riestra/70601
2019,🥇🥇 Double Gold,Houston Cider Company,Cherry,Stone Fruit,0,1,0,1,0,1,3,2019,2022,2,Houston,Texas,USA,Active,https://www.houstoncidertx.com/,https://www.facebook.com/houstoncidercompany,https://www.instagram.com/houstoncider/,https://maps.google.com/?cid=9879541345239427997,https://www.yelp.com/biz/town-in-city-brewing-company-houston,https://www.tripadvisor.com/Attraction_Review-g56003-d9609375,https://untappd.com/w/houston-cider-company/300156
2019,🥇🥇 Double Gold,2 Towns Ciderhouse,Camp Clementine,Fruit,6,11,6,5,4,9,41,2017,2024,6,Corvallis,Oregon,USA,Active,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
2019,🥇🥇 Double Gold,Castle Hill Cider,All Hopped Up,Hopped,2,3,1,0,0,1,7,2018,2023,5,Keswick,Virginia,USA,Active,http://www.castlehillcider.com/,https://www.facebook.com/CastleHillCider,https://www.instagram.com/castlehillcider/,https://maps.google.com/?cid=4112176064200176389,https://www.yelp.com/biz/castle-hill-cider-keswick,https://www.tripadvisor.com/Attraction_Review-g57873-d2359755,https://untappd.com/w/castle-hill-cider/18303
2019,🥇🥇 Double Gold,Meriwether Cider Company,Pineapple Habañero,Spiced,1,3,4,1,0,1,10,2019,2024,5,Garden City,Idaho,USA,Active,https://www.meriwethercider.com/,https://www.facebook.com/meriwethercider,https://www.instagram.com/meriwethercider/,https://maps.google.com/?cid=7830741432069672416,https://www.yelp.com/biz/meriwether-cider-company-garden-city-2,https://www.tripadvisor.com/Attraction_Review-g35459-d10034505,https://untappd.com/w/meriwether-cider-company/222316
2019,🥇🥇 Double Gold,Tieton Cider Works,Lavender Honey,Botanical,2,1,2,5,2,11,23,2017,2024,6,Yakima,Washington,USA,Active,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804
2019,🥇🥇 Double Gold,Chain Yard Cider,Rhubee Cyser,Specialty,0,1,1,2,0,3,7,2018,2019,2,Halifax,Nova Scotia,Canada,Active,https://www.chainyardcider.com/,https://www.facebook.com/chainyardcider/,https://www.instagram.com/chainyardcider/,https://maps.google.com/?cid=4454532663694829560,https://www.yelp.com/biz/chain-yard-urban-cidery-halifax,https://www.tripadvisor.com/Restaurant_Review-g154976-d12547718,https://untappd.com/w/chain-yard-urban-cidery/338806
2019,🥇🥇 Double Gold,2 Towns Ciderhouse,2018 Marissimo,Dessert/Fortified,6,11,6,5,4,9,41,2017,2024,6,Corvallis,Oregon,USA,Active,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
2020,🏆 Platinum,California Cider Company,ACE BlackJack 21 2020 Premium Craft Cider,Heritage,1,0,1,2,0,0,4,2020,2022,2,Sebastopol,California,USA,Active,http://www.acecider.com/,https://www.facebook.com/AceCider,https://www.instagram.com/acecider/,,https://www.yelp.com/biz/ace-premium-hard-ciders-sebastopol,https://www.tripadvisor.com/Attraction_Review-g33069-d3626497,https://untappd.com/w/ace-cider-the-california-cider-company/331
2020,🏆 Platinum,Wise Bird Cider,Pomme Pomme,Modern,1,0,0,0,0,1,2,2020,2020,1,Lexington,Kentucky,USA,Active,https://www.wisebirdcider.com/,https://www.facebook.com/wisebirdciderco,https://www.instagram.com/wisebirdcider/,https://maps.google.com/?cid=15445502611486474709,https://www.yelp.com/biz/wise-bird-cider-lexington-2,https://www.tripadvisor.com/Attraction_Review-g39588-d17700703,https://untappd.com/WiseBirdCiderCo
2020,🏆 Platinum,Dragon's Head Cider,Sparkling Perry,Perry,1,2,4,2,1,2,12,2017,2022,4,Vashon,Washington,USA,Active,http://www.dragonsheadcider.com/,,https://www.instagram.com/dragonsheadcider/,https://maps.google.com/?cid=2526574753760904159,https://www.yelp.com/biz/dragons-head-cider-vashon,,https://untappd.com/w/dragons-head-cider/36168
2020,🏆 Platinum,EdenVale Winery,Pear House Cider,Perry,1,0,1,2,1,0,5,2017,2020,3,Medford,Oregon,USA,Active,http://www.edenvalewines.com/,https://www.facebook.com/EdenValeWinery,https://www.instagram.com/edenvalewinery/,https://maps.google.com/?cid=1337477973398359922,https://www.yelp.com/biz/edenvale-winery-medford-2,https://www.tripadvisor.com/Attraction_Review-g51965-d534330,https://untappd.com/w/edenvale-winery/343164
2020,🏆 Platinum,Vergers Petit et Fils,Rabaska Classique,Natural,1,1,0,0,0,0,2,2020,2020,1,Mont-Saint-Hilaire,Quebec,Canada,Active,https://www.auxvergerspetit.com/,https://www.facebook.com/vergerspetit,https://www.instagram.com/vergerspetit/,https://maps.google.com/?cid=5431180529715913738,https://www.yelp.com/biz/les-vergers-petit-et-fils-mont-saint-hilaire,https://www.tripadvisor.com/Attraction_Review-g1593038-d4922048,https://untappd.com/w/les-vergers-petit-et-fils/82272
2020,🏆 Platinum,Sidra Riestra,Sidra Natural Riestra,Natural,1,1,2,0,0,0,4,2019,2020,2,Sariego,Asturias,Spain,Active,http://www.sidrariestra.com/,https://www.facebook.com/SidraRiestra,https://www.instagram.com/sidrariestra/,https://maps.google.com/?cid=2253085342105400787,,,https://untappd.com/w/riestra/70601
2020,🏆 Platinum,Gowan's Heirloom Ciders,Gravenstein,Single Varietal,1,1,2,1,1,2,8,2017,2020,3,Philo,California,USA,Active,http://www.gowansheirloomcider.com/,https://www.facebook.com/gowanscider/,https://www.instagram.com/gowanscider/,https://maps.google.com/?cid=14585432541984297394,https://www.yelp.com/biz/gowan-s-cider-philo,https://www.tripadvisor.com/Attraction_Review-g32878-d23631277,https://untappd.com/w/gowans-hard-cider/200818
2020,🏆 Platinum,Finnriver Farm & Cidery,Fire Barrel,Wood-Aged,1,0,0,1,0,2,4,2020,2022,2,Chimacum,Washington,USA,Active,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008
2020,🏆 Platinum,Herb's Cider,Concerto #2 - Wild Foraged Plum,Wood-Aged,1,1,0,0,1,0,3,2019,2020,2,Bellingham,Washington,USA,Inactive,,,,,,,
2020,🏆 Platinum,Alma Cider,Rosé,Rosé,2,0,1,0,0,3,6,2020,2024,4,Mount Vernon,Washington,USA,Active,https://almacider.com/,https://www.facebook.com/almaciderco/,https://www.instagram.com/almaciderco/,,,,https://untappd.com/w/alma-cider/473877
2020,🏆 Platinum,Glacial Till Vineyard & Winery,Lauretta,Stone Fruit,2,3,2,0,0,3,10,2020,2023,3,Ashland,Nebraska,USA,Active,http://www.glacialtillvineyard.com/,https://www.facebook.com/glacialtillvineyard,https://www.instagram.com/glacialtillvineyard/,https://maps.google.com/?cid=185099829414435279,https://www.yelp.com/biz/glacial-till-tasting-room-ashland,https://www.tripadvisor.com/Attraction_Review-g29709-d5832186,https://untappd.com/w/glacial-till-vineyard-and-winery/223758
2020,🏆 Platinum,St. Vrain Cidery,Key Lime,Fruit,1,0,0,0,0,2,3,2020,2020,1,Longmont,Colorado,USA,Active,http://www.stvraincidery.com/,https://www.facebook.com/stvraincidery/,https://www.instagram.com/stvraincidery/,https://maps.google.com/?cid=17224865106599925771,https://www.yelp.com/biz/st-vrain-cidery-longmont,https://www.tripadvisor.com/Attraction_Review-g33527-d12173022,https://untappd.com/w/st-vrain-cidery/316114
2020,🏆 Platinum,Tieton Cider Works,Lavender Honey Cider,Botanical,2,1,2,5,2,11,23,2017,2024,6,Yakima,Washington,USA,Active,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804
2020,🏆 Platinum,1911 Established,New England IPC Hopped,Hopped,3,3,3,0,0,3,12,2019,2024,5,Marietta,New York,USA,Active,http://1911established.com/,,https://www.instagram.com/1911established/,https://maps.google.com/?cid=13706571465768596510,https://www.yelp.com/biz/beak-and-skiff-apple-orchards-lafayette,https://www.tripadvisor.com/Attraction_Review-g48013-d4954731,https://untappd.com/w/beak-and-skiff-apple-orchards/123121
2020,🏆 Platinum,Big B's Hard Cider,Snow Daze,Spiced,1,1,0,2,0,2,6,2017,2020,4,Hotchkiss,Colorado,USA,Active,http://www.bigbs.com/,https://www.facebook.com/visitbigbs,https://www.instagram.com/drinkbigbs,https://maps.google.com/?cid=78577038036310991,https://www.yelp.com/biz/delicious-orchards-hotchkiss,https://www.tripadvisor.com/Restaurant_Review-g33588-d4471856,https://untappd.com/w/big-bs-fabulous-juices/100389
2020,🏆 Platinum,6 Mile Cellars,Sour Cherry,Sour,1,0,0,0,0,1,2,2020,2020,1,Erie,Pennsylvania,USA,Active,http://6milecellars.com/,https://www.facebook.com/OldSnapperHardCider/,https://www.instagram.com/6milewines/,https://maps.google.com/?cid=15280001282992311542,https://www.yelp.com/biz/6-mile-cellars-erie,https://www.tripadvisor.com/Attraction_Review-g52607-d3579319,https://untappd.com/w/6-mile-cellars/138134
2020,🏆 Platinum,Liquid Alchemy Beverages,Deeply-Rooted,Specialty,1,0,2,0,0,3,6,2019,2024,3,Wilmington,Delaware,USA,Active,https://www.liquidalchemybeverages.com/,https://www.facebook.com/LiquidAlchemyBeverages/,https://www.instagram.com/liquidalchemybeverages,https://maps.google.com/?cid=17392171192902258223,https://www.yelp.com/biz/liquid-alchemy-beverages-wilmington,https://www.tripadvisor.com/Attraction_Review-g34059-d12048635,https://untappd.com/w/liquid-alchemy-beverages/224415
2020,🏆 Platinum,Castle Hill Cider,1764 Port,Dessert/Fortified,2,3,1,0,0,1,7,2018,2023,5,Keswick,Virginia,USA,Active,http://www.castlehillcider.com/,https://www.facebook.com/CastleHillCider,https://www.instagram.com/castlehillcider/,https://maps.google.com/?cid=4112176064200176389,https://www.yelp.com/biz/castle-hill-cider-keswick,https://www.tripadvisor.com/Attraction_Review-g57873-d2359755,https://untappd.com/w/castle-hill-cider/18303
2022,🏆 Platinum,Greenwood Cider Company,Scrumpy,Heritage,1,0,0,1,0,3,5,2022,2023,2,Seattle,Washington,USA,Active,https://www.greenwoodcider.com/,https://www.facebook.com/greenwoodcider,https://www.instagram.com/greenwoodcider,https://maps.google.com/?cid=9193094358946814076,https://www.yelp.com/biz/greenwood-cider-company-seattle,,https://untappd.com/w/greenwood-cider/193817
2022,🏆 Platinum,Tieton Cider Works,Pure Pear,Perry,2,1,2,5,2,11,23,2017,2024,6,Yakima,Washington,USA,Active,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804
2022,🏆 Platinum,Yonder Cider,Wenatchee Wave,Single Varietal,1,0,1,2,0,1,5,2022,2023,2,Seattle,Washington,USA,Active,http://www.yondercider.com/,https://www.facebook.com/yondercider,https://www.instagram.com/yondercider/,https://maps.google.com/?cid=11002201593648505227,https://www.yelp.com/biz/yonder-cider-seattle,,https://untappd.com/w/yonder-cider/474448
2022,🏆 Platinum,Bauman's Cider,Mountain Rose,Rosé,3,0,8,3,2,6,22,2018,2024,5,Gervais,Oregon,USA,Active,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872
2022,🏆 Platinum,Clarksburg Cider,Bourbon Barrel Aged Mint Julep,Wood-Aged,1,0,1,0,0,2,4,2022,2024,3,Lancaster,New York,USA,Active,https://clarksburgcider.com/,https://www.facebook.com/clarksburgcider,https://www.instagram.com/clarksburgcider/,https://maps.google.com/?cid=2480384765559100652,,,https://untappd.com/Clarksburg
