ID,Year,Award,Division,Category,Medalist,Entry,WID
49,2024,🥈 SILVER,Domestic,Modern Cider - Dry,Kikusui Brewing,Kikusui Cidre Method Charmat,2016
50,2024,🥈 SILVER,Domestic,Modern Cider - Dry,Tamura Farm,Tamura Cidre 2nd Dry Grande,3220
51,2024,🥉 BRONZE,Domestic,Modern Cider - Dry,Akiu Winery,Akiu Craft Cider 2022,2019
52,2024,🥉 BRONZE,Domestic,Modern Cider - Dry,Cave d’Occi Winery,Funpy Cidre 2022,3217
53,2024,🥉 BRONZE,Domestic,Modern Cider - Dry,Gio Hills Winery,Hồng Ngọc Cidre,2824
54,2024,🥉 BRONZE,Domestic,Modern Cider - Dry,Kamoshika Cidre,La 3e Saison Brut 2022,2820
55,2024,🥉 BRONZE,Domestic,Modern Cider - Dry,Kikusui Brewing,N35 Terroir Brut Naturel,2016
56,2024,🥉 BRONZE,Domestic,Modern Cider - Dry,Kojiro Noen,Kojiro Noen Cidre Ringo San-Kyodai,X
57,2024,🥉 BRONZE,Domestic,Modern Cider - Dry,Marukame Cidery,Shinano Blend Dry,2011
58,2024,🥉 BRONZE,Domestic,Modern Cider - Dry,Monnosuke Farm,Kamineko Cidre,3228
59,2024,🥉 BRONZE,Domestic,Modern Cider - Dry,Mugi to Budo,Okukuji Daigo Cider (Beer Yeast),3227
60,2024,🥉 BRONZE,Domestic,Modern Cider - Dry,Okashina Ouchi,Circulo Cidre,3222
61,2024,🥉 BRONZE,Domestic,Modern Cider - Dry,Three Peaks Winery,REGALO 2022 Campbell Early,2832
62,2024,🥉 BRONZE,Domestic,Modern Cider - Dry,VinVie Winery & Cidery,VinVie Cider,2010
63,2024,🥉 BRONZE,Domestic,Modern Cider - Dry,Zattana,zattana Cidre Kogan Kitaru,3223
64,2024,🏆 BEST IN CLASS,Domestic,Modern Cider - Sweet,Kamoshika Cidre,Rosé Doux 2022,2820
65,2024,🥇 GOLD,Domestic,Modern Cider - Sweet,Kamoshika Cidre,La 2e Saison Doux 2022,2820
66,2024,🥇 GOLD,Domestic,Modern Cider - Sweet,Kikusui Brewing,Kikusui Cidre Standard,2016
67,2024,🥇 GOLD,Domestic,Modern Cider - Sweet,Kikusui Brewing,N35 Terroir DemiSec,2016
68,2024,🥇 GOLD,Domestic,Modern Cider - Sweet,Kojiro Orchards,Kojiro Orchards Cidre Pink Blend,X
69,2024,🥇 GOLD,Domestic,Modern Cider - Sweet,Marukame Cidery,Shinano Blend Sweet,2011
70,2024,🥈 SILVER,Domestic,Modern Cider - Sweet,Kikusui Brewing,Kikusui Cidre Nouveau 2023,2016
71,2024,🥈 SILVER,Domestic,Modern Cider - Sweet,Mashino Winery,Mashino Cidre Sweet,1576
72,2024,🥈 SILVER,Domestic,Modern Cider - Sweet,Sanyohai Shuzo,Cidre RonRon Prototype Garden Yeast,3226
73,2024,🥈 SILVER,Domestic,Modern Cider - Sweet,Tamura Farm,Tamura Cidre 2nd Sweet Grande,3220
74,2024,🥈 SILVER,Domestic,Modern Cider - Sweet,Tamura Farm,Tamura Cidre Sec,3220
75,2024,🥈 SILVER,Domestic,Modern Cider - Sweet,Tamura Farm,Tamura Cidre Sweet,3220
76,2024,🥉 BRONZE,Domestic,Modern Cider - Sweet,Hikaru no Hata,Lippu Cidre Sweet,2833
77,2024,🥉 BRONZE,Domestic,Modern Cider - Sweet,Hirosaki Meijo,Hirosaki Meijo Unfiltered Sweet,2831
78,2024,🥈 SILVER,Domestic,Traditional Cider - Dry,VinVie Winery & Cidery,Bitter Sweet,2010
79,2024,🥈 SILVER,Domestic,Traditional Cider - Dry,VinVie Winery & Cidery,Virginia Crab,2010
80,2024,🥇 GOLD,Domestic,Modern Perry,Marukame Cidery,Marukame Pear Cider,2011
81,2024,🥇 GOLD,Domestic,Traditional Perry,Kamoshika Cidre,Poire 2022,2820
82,2024,🥇 GOLD,Domestic,Fruit/Blended Cider,Baeren Brewery,Baeren Our Hour Yuzu Cidre,3216
83,2024,🥈 SILVER,Domestic,Fruit/Blended Cider,Three Peaks Winery,REGALO 2022 Campbell Early,2832
84,2024,🥈 SILVER,Domestic,Hopped Cider,"OK,ADAM",HOP IN!,2730
85,2024,🥈 SILVER,Domestic,Hopped Cider,Shiwa Cidery,FC Hopped Cider,2830
86,2024,🥉 BRONZE,Domestic,Hopped Cider,VinVie Winery & Cidery,Hopped Cider,2010
87,2024,🥈 SILVER,Domestic,Spiced/Botanical Cider,"OK,ADAM",ORIGIN,2730
88,2024,🥉 BRONZE,Domestic,Spiced/Botanical Cider,Shiwa Cidery,Chocolate Hard Cider,2830
89,2024,🥈 SILVER,Domestic,Wood/Barrel-Aged Cider,Mashino Winery,Mashino Premium Cidre,1576
90,2024,🥉 BRONZE,Domestic,Wood/Barrel-Aged Cider,Hibi,Ringorillappa Cidre 2022,3214
91,2024,🥈 SILVER,Domestic,Wood/Barrel-Aged Specialty Cider,Son of the Smith Hard Cider,Fresh Hopped Barrel Laundering,1992
92,2024,🥉 BRONZE,Domestic,Wood/Barrel-Aged Specialty Cider,CHILAN,CHILAN Cidre Sauvignon 2022,3218
93,2024,🥇 GOLD,Domestic,Specialty Cider or Perry,Miyazaki Phoenix Brewing,Berry Cider,3201
94,2024,🥈 SILVER,Domestic,Specialty Cider or Perry,Izumi Brewery,Knuckle Baller,2835
95,2024,🏆 BEST OF SHOW,International,Fortified Cider,Small Acres Cyder,Pommeau 2023 Apple Mistelle,1175
96,2024,🥇 GOLD,International,Modern Cider - Dry,Heeman’s,Dry Empire,1071
97,2024,🥈 SILVER,International,Modern Cider - Dry,Il Torsolo,Sidro di Mele Antiche Piemontesi,3215
98,2024,🥈 SILVER,International,Modern Cider - Dry,Nightingale Cider,Night Bird,2074
99,2024,🥈 SILVER,International,Modern Cider - Dry,Nightingale Cider,Wild Disco Cider,2074
100,2024,🥈 SILVER,International,Modern Cider - Dry,Portland Cider,Original Gold,490
101,2024,🥈 SILVER,International,Modern Cider - Dry,Posdata,Postadata Mexican Classic Red Cider,2179
102,2024,🥈 SILVER,International,Modern Cider - Dry,Stowe Cider,Tips Up,601
103,2024,🥉 BRONZE,International,Modern Cider - Dry,Nightingale Cider,Fledgling no4 Cider,2074
104,2024,🥉 BRONZE,International,Modern Cider - Dry,Stowe Cider,High & Dry,601
105,2024,🏆 BEST IN CLASS,International,Modern Cider - Sweet,Small Acres Cyder,Femme Fatale 2023,1175
106,2024,🥇 GOLD,International,Modern Cider - Sweet,Neon Cider,Neon Cider Apple,2146
107,2024,🥈 SILVER,International,Modern Cider - Sweet,Bauman’s Cider,Authentic Apple,118
108,2024,🥈 SILVER,International,Modern Cider - Sweet,Heeman’s,Empire Cider,1071
109,2024,🥈 SILVER,International,Modern Cider - Sweet,Original Sin Cider,McIntosh,467
110,2024,🥈 SILVER,International,Modern Cider - Sweet,Small Acres Cyder,Small Acres Pink Lady,1175
111,2024,🥉 BRONZE,International,Modern Cider - Sweet,JK’s Farmhouse Ciders,JK’s Honeycrisp Haze,3
112,2024,🏆 BEST IN CLASS,International,Traditional Cider - Dry,Small Acres Cyder,Kingston Black,1175
113,2024,🥇 GOLD,International,Traditional Cider - Dry,Bauman’s Cider,Porter’s Perfection,118
114,2024,🥈 SILVER,International,Traditional Cider - Dry,Courtney’s of Whimple,Silly Cow,2144
115,2024,🏆 BEST IN CLASS,International,Traditional Cider - Sweet,Neon Cider,Heritage Blend – Cellar Series,2146
116,2024,🥇 GOLD,International,Traditional Cider - Sweet,Bauman’s Cider,Reine des Pommes,118
117,2024,🥇 GOLD,International,Traditional Cider - Sweet,Courtney’s of Whimple,Courtney’s Orchard Cider,2144
118,2024,🥈 SILVER,International,Traditional Cider - Sweet,Teepee Cider,Devon Dapple,2949
119,2024,🥈 SILVER,International,Traditional Perry,Teepee Cider,TeePee Perry 2019 Method Traditional,2949
120,2024,🏆 BEST IN CLASS,International,Fruit/Blended Cider,JK’s Farmhouse Ciders,JK’s Patriotic Paw Paw,3
121,2024,🥇 GOLD,International,Fruit/Blended Cider,Avid Cider,Blackberry,103
122,2024,🥇 GOLD,International,Fruit/Blended Cider,Bauman’s Cider,Obsidian Blackberry,118
123,2024,🥇 GOLD,International,Fruit/Blended Cider,Heeman’s,Berry Blush,1071
124,2024,🥇 GOLD,International,Fruit/Blended Cider,Neon Cider,Neon Cider Just Peachy,2146
125,2024,🥈 SILVER,International,Fruit/Blended Cider,Bauman’s Cider,Loganberry Cider,118
126,2024,🥈 SILVER,International,Fruit/Blended Cider,Finnriver Farm & Cidery,Black Currant,276
127,2024,🥈 SILVER,International,Fruit/Blended Cider,Golden Row Hard Cider,Golden Row Hard Marionberry Cider,297
128,2024,🥈 SILVER,International,Fruit/Blended Cider,Heeman’s,Strawberry Rhubarb,1071
129,2024,🥈 SILVER,International,Fruit/Blended Cider,JK’s Farmhouse Ciders,JK’s Traverse City Cherry,3
130,2024,🥈 SILVER,International,Fruit/Blended Cider,La Familia Cider,Guayaba,2119
131,2024,🥉 BRONZE,International,Fruit/Blended Cider,Original Sin Cider,Black Widow,467
132,2024,🥉 BRONZE,International,Fruit/Blended Cider,TÁLAVA,Apple Cider with Passionfruit,2142
133,2024,🥇 GOLD,International,Hopped Cider,TÁLAVA,Apple Cider with Hops,2142
134,2024,🥇 GOLD,International,Spiced/Botanical Cider,Neon Cider,Neon Cider Pandan,2146
135,2024,🥈 SILVER,International,Spiced/Botanical Cider,Heeman’s,Dutch Crumble,1071
136,2024,🥈 SILVER,International,Spiced/Botanical Cider,Neon Cider,Neon Cider NLC Lemon Tea Cider,2146
137,2024,🥈 SILVER,International,Wood/Barrel-Aged Cider,Kristof Farms,Kristof Farms Reserve Cider,2039
138,2024,🥉 BRONZE,International,Wood/Barrel-Aged Cider,Nightingale Cider,Song Bird no3 Cider,2074
139,2024,🥈 SILVER,International,Specialty Cider or Perry,19 Acres Cider,Strawberry Hibiscus,1084
